episode,reward,timestep,avg_reward_20,policy_loss,value_loss
1,210.37784,1536,210.37784,-0.015528003685176373,2768.5654296875
2,143.3453,1552,176.86157,0.002062492771074176,2256.50244140625
3,43.569016,1656,132.43073,-0.043396953493356705,963.9078979492188
4,461.5732,2000,214.71634,-0.007202118169516325,16000.1708984375
5,332.43927,2000,238.26094,-0.010617554187774658,8313.564453125
6,330.15094,2000,253.57593,-0.01523877028375864,7317.9521484375
7,533.97,2000,293.63223,0.008367798291146755,21620.533203125
8,395.8276,2000,306.40665,-0.0025056153535842896,10512.744140625
9,183.37675,3008,292.73666,0.014789829961955547,2913.434814453125
10,77.20086,3120,271.18307,0.0065981182269752026,829.9370727539062
11,309.4301,3544,274.6601,0.00019903297652490437,6704.4853515625
12,495.7287,3560,293.0825,0.019763657823204994,17740.642578125
13,507.26123,4008,309.55777,0.01697561703622341,16899.576171875
14,345.1207,4008,312.09796,-0.0021432519424706697,8071.1640625
15,520.4203,4008,325.98615,0.004316170699894428,18192.794921875
16,284.47498,4008,323.39166,-0.01545852143317461,5618.54736328125
17,86.49321,4320,309.45645,-0.017117371782660484,1427.0531005859375
18,442.01544,5016,316.82086,0.014479435980319977,12471.958984375
19,301.10757,5128,315.99384,-0.01731419749557972,6252.54052734375
20,366.40112,5568,318.51422,-0.007475803606212139,6652.16259765625
21,252.3303,5640,320.61182,-0.0208724532276392,5304.8125
22,133.01857,5912,320.09552,0.03711767494678497,1133.9903564453125
23,154.92232,6016,325.66315,-0.0067059644497931,1159.2041015625
24,494.929,6016,327.33096,-0.015375388786196709,16494.447265625
25,472.10358,6016,334.31418,-0.010823406279087067,11870.7470703125
26,70.75518,6464,321.34442,0.010066838935017586,1273.2352294921875
27,183.40733,6464,303.81625,-0.004583210684359074,1978.262451171875
28,73.964645,6720,287.7231,0.01712968572974205,1072.9566650390625
29,146.84744,7288,285.89667,0.005762137472629547,2057.26318359375
30,133.86743,7368,288.72998,0.009312382899224758,1614.8226318359375
31,89.1546,7416,277.7162,-0.003924255259335041,1052.2095947265625
32,209.90642,7752,263.42508,0.004055919591337442,2787.974853515625
33,329.4058,7768,254.53227,-0.001194329117424786,3940.4365234375
34,232.38618,7952,248.89558,-0.0086456798017025,2399.417724609375
35,138.06468,8264,229.77779,-0.015000373125076294,1361.484375
36,194.49342,8376,225.27872,0.007712455466389656,2880.0546875
37,397.1718,8728,240.81265,0.01957727037370205,6250.86865234375
38,373.24094,8848,237.3739,0.03495186194777489,9242.5966796875
39,103.329865,9168,227.48503,-0.02399294078350067,1592.3536376953125
40,459.74664,9424,232.15231,0.013716861605644226,10129.87109375
41,270.23486,9424,233.04753,-0.013958659023046494,3642.7822265625
42,270.86777,9608,239.93999,-0.004859168082475662,3209.592041015625
43,233.13957,9744,243.85086,0.018299613147974014,4599.5185546875
44,272.0831,9784,232.70857,0.011780370958149433,3521.034912109375
45,368.1217,9800,227.50948,0.027598192915320396,5146.7177734375
46,306.2716,10096,239.28528,0.037593793123960495,5720.91845703125
47,143.8614,10448,237.30798,0.00654447078704834,3063.43212890625
48,72.9892,10576,237.2592,-0.07209545373916626,2546.2275390625
49,321.52466,10616,245.99307,0.014718126505613327,4377.453125
50,135.10634,10624,246.05502,-0.045462466776371,1905.078125
51,153.14566,10856,249.2546,-0.01031152531504631,2391.822265625
52,224.79697,10976,249.99911,-0.015028167515993118,3112.137451171875
53,257.64484,11008,246.41106,0.04749833792448044,3455.719482421875
54,379.7979,11072,253.78165,0.013817955739796162,5395.44482421875
55,144.69667,11176,254.11325,-0.057576194405555725,2925.253173828125
56,146.61292,11280,251.71924,-0.017533816397190094,2483.198974609375
57,185.99321,11544,241.16031,-0.008435084484517574,1688.8525390625
58,125.73834,11624,228.78516,-0.0032616853713989258,2940.328857421875
59,120.60632,11672,229.64897,0.018969571217894554,1490.4385986328125
60,64.892006,11912,209.90625,-0.07088647037744522,5315.85595703125
61,140.1841,12056,203.40372,-0.07370390743017197,2238.79541015625
62,224.41946,12192,201.0813,0.06806306540966034,2741.19091796875
63,125.87246,12216,195.71794,-0.07443907856941223,1257.8824462890625
64,164.53282,12248,190.34042,0.005549188703298569,2199.321044921875
65,163.60257,12512,180.11447,-0.044680822640657425,1658.5516357421875
66,89.00553,12520,169.25117,-0.0372590497136116,1725.8294677734375
67,107.69949,12672,167.44307,-0.02609184756875038,1623.3980712890625
68,120.45498,12744,169.81638,0.02370869740843773,1707.912109375
69,122.213295,12752,159.8508,0.026655742898583412,1037.7559814453125
70,168.28104,13176,161.50954,-0.018167339265346527,1842.4088134765625
71,68.84202,13232,157.29436,-0.055615413933992386,1344.7911376953125
