episode,reward,timestep,avg_reward_20,policy_loss,value_loss
1,208.7047,1152,208.7047,-0.01327286846935749,4729.10693359375
2,223.7596,1456,216.23215,-0.019615383818745613,4490.029296875
3,206.67458,1544,213.04628,-0.02559211105108261,4705.52392578125
4,111.89554,1656,187.7586,-4.323323446442373e-05,1179.2281494140625
5,190.04646,1984,188.21617,-0.024397818371653557,2581.734619140625
6,408.73633,2000,224.96953,0.0012966919457539916,11544.515625
7,380.16473,2000,247.14027,-0.0261039137840271,10936.9814453125
8,422.6937,2000,269.08444,-0.011568420566618443,10594.3203125
9,236.819,3160,265.4994,0.004929501097649336,2715.156982421875
10,304.84317,3464,269.43378,0.03586092218756676,6240.1826171875
11,349.94293,3552,276.7528,-0.0020910012535750866,8001.16650390625
12,160.67409,3568,267.07956,-0.002433543326333165,2346.889892578125
13,288.18542,3664,268.7031,-0.0077880010940134525,4433.09375
14,182.68121,3712,262.55865,0.011726628988981247,2065.279052734375
15,255.85158,3992,262.1115,-0.03296925872564316,3550.2451171875
16,375.7235,4008,269.21228,-0.004957100376486778,6701.083984375
17,405.47974,5168,277.228,0.008508265018463135,9537.9521484375
18,398.29745,5400,283.95407,-0.005938285496085882,11508.2431640625
19,177.7603,5448,278.36493,0.005407838150858879,1804.0040283203125
20,406.97632,5560,284.7955,0.014334416948258877,9522.158203125
21,416.015,5576,295.16107,0.024932101368904114,10239.283203125
22,210.88705,5696,294.51743,-0.0105515755712986,2949.19091796875
23,446.2024,6000,306.4938,-0.012995503842830658,9518.8359375
24,569.881,6016,329.39307,0.012196514755487442,17770.21875
25,235.51447,6360,331.6665,-0.008364805020391941,4888.33544921875
26,160.96509,6704,319.2779,-0.0008813165477477014,1241.040283203125
27,95.63618,7144,305.05148,-0.0005556176183745265,1697.82666015625
28,139.41306,7240,290.88748,3.5903033221984515e-06,2344.967041015625
29,182.23569,7336,288.1583,0.024730980396270752,2592.10693359375
30,142.27571,7368,280.02994,-0.021189967170357704,1639.781494140625
31,344.02292,7584,279.73395,0.00624242564663291,4443.03857421875
32,422.12976,7704,292.8067,0.018745454028248787,6741.6396484375
33,311.29385,8360,293.96213,0.008029968477785587,4790.984375
34,145.59132,8536,292.10764,-0.018302567303180695,1640.7515869140625
35,84.52372,8552,283.54126,0.019228864461183548,2045.1153564453125
