# Episode,Reward,Timestep
355,248.32,80056
356,540.27,80224
357,230.67,80280
358,375.80,80648
359,543.94,81360
360,547.20,81400
361,267.89,81448
362,309.51,82008
363,419.57,82064
364,416.09,82232
365,479.53,82288
366,491.30,82656
367,143.35,83344
368,178.11,83368
369,392.68,83408
370,359.24,83456
371,435.64,84016
372,447.44,84192
373,370.84,84240
374,477.89,84664
375,363.10,84776
376,189.73,85144
377,262.92,85352
378,390.29,85416
379,460.34,85464
380,379.05,86024
381,400.56,86248
382,517.40,86672
383,218.48,86784
384,433.92,86992
385,287.66,87152
386,421.84,87336
387,274.03,87472
388,151.93,87904
389,545.41,88032
390,351.20,88136
391,212.94,88376
392,511.04,88792
393,503.89,89160
394,263.54,89344
395,663.14,89480
396,263.54,89568
397,555.39,89912
398,161.38,89944
399,494.29,90040
400,259.88,90384
401,197.49,90392
402,201.02,90856
403,500.61,91168
404,169.58,91304
405,148.55,91416
406,354.74,91488
407,436.49,91576
408,132.07,91984
409,469.01,92048
410,311.13,92392
411,200.01,92616
412,325.60,92824
413,181.59,93192
414,468.89,93312
415,335.53,93496
416,464.79,93920
417,465.65,93968
418,363.59,94128
419,420.40,94400
420,120.27,94584
421,193.26,94592
422,473.59,94624
423,280.48,95064
424,329.47,95912
425,528.85,95928
426,438.17,96136
427,200.03,96152
428,163.25,96344
429,375.42,96384
430,225.88,96592
431,226.10,96632
432,337.09,97488
433,328.19,97704
434,336.39,97920
435,377.30,97928
436,197.65,98144
437,414.40,98160
438,529.92,98352
439,256.44,98528
440,359.22,99344
441,231.64,99432
442,446.42,99712
443,367.89,99888
444,529.94,99936
445,607.63,100168
446,473.33,100360
447,250.58,100536
448,139.06,100904
449,346.22,101352
450,218.42,101440
451,337.39,101440
452,222.61,101664
453,380.89,101944
454,313.15,102320
455,166.42,102416
456,327.41,102544
457,267.94,102912
458,319.11,103152
459,199.01,103240
460,539.58,103448
461,271.16,103448
462,431.42,104232
463,440.13,104256
464,487.01,104552
465,460.84,104864
466,496.23,104872
467,325.19,105160
468,481.41,105360
469,380.06,105456
470,319.30,106240
471,376.79,106264
472,580.39,106560
473,372.36,106800
474,473.72,106872
475,361.28,107104
476,173.67,107120
477,257.13,107168
478,460.02,107464
479,430.60,108272
480,344.88,108336
481,295.73,108616
482,393.30,108808
483,465.92,109112
484,405.53,109120
485,395.15,109128
486,366.25,109472
487,232.54,109640
488,430.92,109968
489,269.58,110440
490,580.86,110624
491,663.81,111120
492,591.98,111128
493,435.02,111136
494,261.40,111480
495,515.45,111648
496,528.65,111976
497,345.96,112128
498,457.23,112632
499,479.32,112992
500,509.10,113056
501,251.16,113136
502,135.71,113224
503,424.76,113488
504,269.74,113656
505,84.60,113960
506,552.61,114136
507,372.40,114640
508,247.34,114840
509,285.59,114912
510,417.89,115000
511,337.59,115144
512,241.74,115488
513,445.48,115552
514,201.65,115952
515,490.70,116144
516,303.60,116552
517,398.90,116848
518,433.25,116864
519,285.36,117008
520,461.06,117496
521,651.16,117560
522,259.62,117952
523,457.53,117960
524,389.03,118184
525,410.85,118616
526,469.15,118856
527,265.96,118856
528,302.03,118920
529,403.29,119568
530,202.10,119624
531,509.70,119960
532,477.00,119968
533,466.34,120192
534,262.65,120296
535,210.37,120512
536,297.68,120752
537,644.60,120864
538,356.59,121632
539,228.30,121664
540,265.69,121968
541,388.14,121976
542,357.14,122072
543,460.31,122200
544,310.33,122584
545,530.69,122760
546,225.96,122840
547,146.04,122912
548,163.56,123168
549,535.76,123624
550,324.77,123976
551,370.67,124168
552,522.80,124592
553,543.29,124768
554,390.61,124848
555,350.28,124920
556,661.72,125176
557,455.98,125632
558,326.89,125984
559,436.34,126176
560,419.55,126600
561,358.91,126632
562,520.73,126776
563,354.27,126824
564,302.65,126960
565,538.83,127568
566,236.98,127592
567,383.42,127608
568,583.38,128608
569,760.73,128640
570,465.84,128664
571,297.68,128784
572,222.46,128832
573,246.62,129192
574,421.30,129376
575,504.09,129616
576,275.89,130376
577,270.57,130424
578,348.35,130536
579,555.35,130616
580,401.95,130784
581,418.77,131200
582,343.03,131232
583,438.21,131384
584,187.94,131744
585,514.34,132248
586,426.89,132384
587,525.24,132544
588,489.53,132792
589,190.94,132832
590,426.19,133208
591,167.85,133376
592,540.17,133392
593,172.18,133744
594,380.93,133752
595,136.10,134208
596,346.17,134552
597,400.09,134744
598,552.53,134840
599,368.59,134968
600,384.27,135152
601,288.07,135240
602,298.53,135424
603,218.79,135720
604,386.81,136208
605,510.02,136320
606,356.51,136592
607,273.36,136640
608,258.30,136752
609,403.21,136792
610,509.95,137432
611,526.63,137728
612,411.98,138216
613,288.50,138280
614,534.72,138328
615,404.86,138432
616,405.87,138600
617,513.65,138800
618,326.02,139440
619,568.59,139736
620,498.93,140112
621,452.73,140240
622,573.19,140288
623,447.60,140336
624,369.86,140416
625,401.92,140808
626,294.49,141016
627,353.32,141448
628,195.69,141528
629,180.58,141616
630,376.22,141632
631,296.74,142176
632,379.23,142424
633,399.59,142632
634,382.07,142744
635,417.84,143368
636,428.13,143432
637,441.92,143536
638,366.85,143632
639,144.29,143904
640,417.27,144184
641,248.07,144432
642,406.48,144464
643,230.99,144960
644,182.92,144968
645,464.63,145200
646,363.03,145264
647,519.10,145536
648,388.71,145904
649,351.90,146160
650,265.23,146272
651,487.14,146472
652,456.74,146968
653,427.84,147208
654,510.72,147272
655,309.01,147320
656,457.57,147544
657,366.55,147680
658,467.73,148256
659,427.76,148440
660,289.15,148544
661,291.22,148776
662,331.52,149016
663,459.54,149216
664,315.19,149264
665,495.25,149328
666,362.16,150232
667,355.02,150232
668,374.83,150488
669,506.80,150536
670,358.20,150816
671,388.53,151152
672,378.14,151224
673,309.52,151336
674,506.85,152088
675,363.07,152240
676,521.99,152344
677,492.79,152352
678,524.36,152824
679,389.82,153096
680,484.79,153160
681,425.39,153280
682,413.89,153776
683,479.82,153824
684,214.76,154072
685,455.88,154344
686,324.46,154360
687,365.69,154704
688,359.66,154832
689,438.73,155136
690,236.53,155160
691,388.86,155832
692,387.91,155920
693,277.10,156040
694,381.68,156344
695,393.44,156352
696,406.08,156512
697,374.31,157032
698,673.85,157168
699,158.08,157440
700,319.71,157736
701,460.47,157928
702,401.44,158048
703,355.45,158056
704,439.59,158312
705,334.30,158840
706,462.99,158880
707,480.00,159448
708,390.66,159536
709,424.53,159744
710,421.78,159768
711,414.37,160056
712,629.15,160320
713,241.96,160624
714,415.14,160720
715,176.65,161040
716,352.46,161048
717,287.29,161064
718,402.98,161504
719,513.57,161704
720,519.60,162328
721,453.04,162440
722,507.75,162600
723,320.50,162624
724,266.88,162760
725,512.10,163048
726,419.21,163344
727,463.54,163512
728,217.46,163856
729,466.52,164080
730,458.51,164248
731,519.77,164584
732,423.07,164768
733,337.22,164992
734,441.85,165232
735,487.18,165352
736,436.53,165864
737,475.44,165976
738,543.28,166088
739,362.34,166536
740,381.24,166664
741,548.78,166760
742,372.61,167224
743,478.79,167240
744,473.97,167640
745,481.50,167912
746,455.74,168016
747,495.03,168056
748,434.23,168080
749,262.83,168288
750,445.40,168944
751,534.48,168952
752,401.09,169464
753,396.61,169480
754,399.99,169784
755,408.81,169784
756,361.30,169920
757,433.06,170296
758,519.12,170600
759,389.75,170688
760,464.91,171112
761,416.35,171288
762,378.54,171496
763,358.66,171600
764,605.68,171928
765,323.38,172160
766,459.32,172440
767,232.64,172576
768,452.24,172640
769,378.04,172696
770,558.98,173352
771,191.69,173416
772,338.79,173448
773,303.51,173464
774,307.65,174184
775,453.16,174376
776,431.82,174448
777,511.93,174456
778,294.66,174888
779,437.82,175064
780,345.92,175080
781,343.60,175144
782,268.59,175784
783,370.99,175904
784,512.26,176184
785,527.35,176464
786,705.96,176896
787,500.24,177072
788,396.05,177088
789,684.51,177152
790,516.22,177688
791,506.98,177808
792,669.76,177912
793,275.71,177984
794,361.42,178488
795,285.11,178672
796,475.15,179080
797,624.35,179096
798,450.53,179368
799,258.75,179792
800,327.34,179816
801,504.32,179920
802,562.84,179992
803,485.53,180296
804,367.05,181088
805,680.55,181104
806,236.79,181376
807,391.45,181544
808,452.11,181752
809,686.92,181800
810,465.26,182000
811,508.64,182304
812,383.60,182688
813,378.61,183112
814,468.60,183296
815,461.24,183360
816,436.24,183480
817,752.67,183808
818,315.29,183816
819,396.52,184008
820,317.49,184608
821,444.29,184872
822,351.27,184880
823,447.64,185080
824,375.18,185360
825,705.60,185368
826,342.73,185576
827,461.25,185816
828,415.68,186192
829,376.76,186584
830,535.91,186656
831,422.21,187008
832,399.06,187080
833,470.79,187272
834,636.69,187368
835,380.40,187624
836,539.17,188200
837,437.94,188296
838,344.28,188464
839,490.06,188656
840,420.44,188664
841,373.08,188968
842,489.90,189280
843,502.49,189472
844,352.65,189952
845,540.67,190232
846,540.39,190416
847,479.73,190424
848,308.14,190664
849,468.84,190784
